model,oos_r2,rmse,mae,ic,ic_ir,xs_oos_r2,accuracy,precision,recall,f1,long_only_accuracy,n_long_predictions,sharpe_ratio,max_drawdown,total_return,win_rate,win_loss_ratio,n_trades,final_equity,n_periods,window,feature_set,scheme,horizon,train_start,train_end,test_start,test_end,n_train,n_test
OLS,-0.0045227838577162,0.0238789196807458,0.016500767811994,-0.0420421015921918,0.2477444069622781,-0.0044831510463509,0.4993274145816518,0.4766763848396501,0.1787862219792236,0.2600397614314115,0.4766763848396501,686,-0.9628123481596836,-0.2344777427807232,-8.974520078353143,0.4444444444444444,0.8880903103218294,166,9102.547992164686,63,3,repr_svi,rolling_9m_3m,5,2016-10-03,2017-07-03,2017-07-05,2017-10-02,10856,3717
OLS,-0.0057936703101475,0.0275030384977478,0.0185129575015996,0.035809749750496,0.4577793242974149,-0.0052134202921616,0.5114339521119182,0.4939434724091521,0.4082313681868743,0.4470158343483557,0.4939434724091521,1486,-0.594828060113394,-0.1037177562986258,-4.8173667502320106,0.5714285714285714,0.5843488253919356,380,9518.2633249768,63,4,repr_svi,rolling_9m_3m,5,2017-01-03,2017-10-02,2017-10-03,2018-01-02,10856,3717
OLS,-0.0010735338826437,0.0280127639135212,0.0193303557775515,0.0032469787388229,0.296467885439001,-0.0006866268697796,0.4966370729082593,0.5006134969325153,0.2179487179487179,0.3036844064011909,0.5006134969325153,815,0.8113150613349059,-0.1715975001571353,9.690433469397131,0.4444444444444444,1.7257199583065264,320,10969.043346939714,63,5,repr_svi,rolling_9m_3m,5,2017-04-04,2018-01-02,2018-01-03,2018-04-04,10856,3717
OLS,0.0062883632058091,0.0278006237702774,0.0202569776378425,0.0855875895663846,-0.3395734408190505,0.0065240905156032,0.5305353779930051,0.5107108081791626,0.5863610955841252,0.545927660681759,0.5107108081791626,2054,3.1616677153377184,-0.0385434970786091,21.73766408546316,0.6190476190476191,2.372969402256549,301,12173.766408546317,63,6,repr_svi,rolling_9m_3m,5,2017-07-05,2018-04-04,2018-04-05,2018-07-03,10856,3717
OLS,-0.0021212146995679,0.0298293257161475,0.0201335946839578,-0.0023137506833227,-0.4025527568850161,-0.0019377251190151,0.5130481571159538,0.5114263199369582,0.3529091897770527,0.4176319176319176,0.5114263199369582,1269,1.243210176421499,-0.1162581034904736,14.767439487190192,0.5238095238095238,1.4977476735172346,307,11476.74394871902,63,7,repr_svi,rolling_9m_3m,5,2017-10-03,2018-07-03,2018-07-05,2018-10-02,10856,3717
OLS,-0.011750678777241,0.0380172071354838,0.0259457618357478,-0.0598008367037441,-0.1082516867674371,-0.01129596470876,0.4998654829163304,0.5098347757671126,0.3439490445859872,0.4107765451664025,0.5098347757671126,1271,0.292064591553731,-0.2314667171549426,3.3475284966865138,0.5396825396825397,0.9509729743428552,168,10334.752849668652,63,8,repr_svi,rolling_9m_3m,5,2018-01-03,2018-10-02,2018-10-03,2019-01-03,10856,3717
OLS,-0.0024771352062491,0.0277295889941346,0.0187851176187131,0.0102705551873917,0.570705214793685,-0.0010088155850476,0.4936776970675275,0.5163704396632367,0.2879499217527386,0.3697253851306095,0.5163704396632367,1069,0.5815354211313817,-0.0936231967589143,4.86277949902536,0.5238095238095238,1.1216295445393358,330,10486.277949902536,63,9,repr_svi,rolling_9m_3m,5,2018-04-05,2019-01-03,2019-01-04,2019-04-04,10856,3717
OLS,-9.454819109344648e-05,0.0275044527418872,0.0192930842399999,0.0308199411123725,0.6933351822036957,2.830386828156506e-05,0.4979822437449556,0.5251396648044693,0.4805725971370143,0.5018686599038975,0.5251396648044693,1790,0.4178776407389657,-0.0910879223952702,2.566981951228442,0.5555555555555556,0.9370956561539654,515,10256.698195122844,63,10,repr_svi,rolling_9m_3m,5,2018-07-05,2019-04-04,2019-04-05,2019-07-05,10856,3717
OLS,0.0025706695837913,0.0281725907247672,0.0198397651416488,0.047481869341743,0.5731592860366055,0.0034552629521531,0.5152004304546678,0.5104477611940299,0.5563991323210412,0.5324338349766476,0.5104477611940299,2010,3.143593382058824,-0.0342053148815288,14.1861459307981,0.6507936507936508,1.7238357404910498,293,11418.61459307981,63,11,repr_svi,rolling_9m_3m,5,2018-10-03,2019-07-05,2019-07-08,2019-10-03,10856,3717
OLS,-0.0212542604872847,0.0266857253883453,0.017930714173659,-0.0150279220005538,0.6870469948454316,-0.0196848673380305,0.5087436104385257,0.4767953102100635,0.5638359329867129,0.5166754896770778,0.4767953102100635,2047,-1.8098837838785595,-0.0686262848589337,-4.858564905485252,0.4761904761904761,0.606746737811569,390,9514.143509451476,63,12,repr_svi,rolling_9m_3m,5,2019-01-04,2019-10-03,2019-10-04,2020-01-03,10856,3717
