model,feature_set,scheme,horizon,window,ic,n_test
XGBoost,B,expanding,1,7,0.2595081755115046,3717
XGBoost,B,expanding,1,8,0.12581226950843627,3717
XGBoost,B,expanding,1,9,0.31912956894580513,3717
XGBoost,B,expanding,1,10,0.32392279071940716,3717
XGBoost,B,expanding,1,11,0.26932899545588773,3717
XGBoost,B,expanding,1,12,0.281216119309421,3717
XGBoost,B,expanding,1,13,0.26939132072503086,3726
XGBoost,B,expanding,1,14,0.2682577470260299,3780
XGBoost,B,expanding,1,15,0.26204550160567897,3780
XGBoost,B,expanding,1,16,0.3004633992588357,3730
XGBoost,B,expanding,1,17,0.35015479653599973,3740
XGBoost,B,expanding,1,18,0.2860486676993318,3780
XGBoost,B,expanding,1,19,0.3060295416029198,3780
XGBoost,B,expanding,1,20,0.3096201375835917,3780
XGBoost,B,expanding,1,21,0.2888736200929157,3780
XGBoost,B,expanding,1,22,0.2519746426005187,3780
XGBoost,B,expanding,1,23,0.2559334196288714,3780
XGBoost,B,expanding,1,24,0.25299910937804104,3780
XGBoost,B,expanding,1,25,0.24360990066772523,3780
XGBoost,B,expanding,1,26,0.2737736817576162,3780
XGBoost,B,rolling_9m_3m,1,0,0.24652977299106282,3717
XGBoost,B,rolling_9m_3m,1,1,0.28254426910294556,3717
XGBoost,B,rolling_9m_3m,1,2,0.2981394249206587,3717
XGBoost,B,rolling_9m_3m,1,3,0.2719843651183423,3717
XGBoost,B,rolling_9m_3m,1,4,0.2781413588960994,3717
XGBoost,B,rolling_9m_3m,1,5,0.221096764053013,3717
XGBoost,B,rolling_9m_3m,1,6,0.26629119263601486,3717
XGBoost,B,rolling_9m_3m,1,7,0.2622412569060037,3717
XGBoost,B,rolling_9m_3m,1,8,0.3248369055728546,3717
XGBoost,B,rolling_9m_3m,1,9,0.28369243249973564,3717
XGBoost,B,rolling_9m_3m,1,10,0.2767820860894431,3717
XGBoost,B,rolling_9m_3m,1,11,0.25746063599961644,3717
XGBoost,B,rolling_9m_3m,1,12,0.24972227491209328,3717
XGBoost,B,rolling_9m_3m,1,13,0.1060965025233358,3717
XGBoost,B,rolling_9m_3m,1,14,0.26481152256368945,3717
XGBoost,B,rolling_9m_3m,1,15,0.2636040350397029,3717
XGBoost,B,rolling_9m_3m,1,16,0.2769445665580825,3717
XGBoost,B,rolling_9m_3m,1,17,0.27913407749237856,3717
XGBoost,B,rolling_9m_3m,1,18,0.22139201770647096,3726
XGBoost,B,rolling_9m_3m,1,19,0.2503483908939609,3780
XGBoost,B,rolling_9m_3m,1,20,0.2677902847230834,3780
XGBoost,B,rolling_9m_3m,1,21,0.2726715739042852,3730
XGBoost,B,rolling_9m_3m,1,22,0.3715502935580606,3740
XGBoost,B,rolling_9m_3m,1,23,0.3040568386489888,3780
XGBoost,B,rolling_9m_3m,1,24,0.3351127521127427,3780
XGBoost,B,rolling_9m_3m,1,25,0.31271742663906005,3780
XGBoost,B,rolling_9m_3m,1,26,0.2741890932601901,3780
XGBoost,B,rolling_9m_3m,1,27,0.261086309209463,3780
XGBoost,B,rolling_9m_3m,1,28,0.26455880166370077,3780
XGBoost,B,rolling_9m_3m,1,29,0.26735314782678515,3780
XGBoost,B,rolling_9m_3m,1,30,0.2622941528959116,3780
XGBoost,B,rolling_9m_3m,1,31,0.2813817462930171,3780
OLS,C,expanding,1,0,0.022743399183416314,3717
OLS,C,expanding,1,1,0.024827037377628203,3717
OLS,C,expanding,1,2,0.08674542108180204,3717
OLS,C,expanding,1,3,0.13917066864688862,3717
OLS,C,expanding,1,4,0.07461263293055725,3717
OLS,C,expanding,1,5,0.09861204858849094,3717
OLS,C,expanding,1,6,0.11378598548343818,3717
OLS,C,expanding,1,7,0.07524594977989746,3717
OLS,C,expanding,1,8,0.005951002941347161,3717
OLS,C,expanding,1,9,0.1153640479682614,3717
OLS,C,expanding,1,10,0.018667341440408044,3717
OLS,C,expanding,1,11,-0.014923310945605108,3717
OLS,C,expanding,1,12,0.0038099245926604282,3717
OLS,C,expanding,1,13,0.04113956775357216,3726
OLS,C,expanding,1,14,0.03954792942888742,3780
OLS,C,expanding,1,15,0.018157178307926358,3780
OLS,C,expanding,1,16,0.10690369778202935,3730
OLS,C,expanding,1,17,0.18871200505271019,3740
OLS,C,expanding,1,18,0.09322291981348338,3780
OLS,C,expanding,1,19,0.19295311049737307,3780
OLS,C,expanding,1,20,0.0026894316868118595,3780
OLS,C,expanding,1,21,0.004831578113709885,3780
OLS,C,expanding,1,22,-0.01277017524116566,3780
OLS,C,expanding,1,23,-0.0006787497761895606,3780
OLS,C,expanding,1,24,0.03560839967691724,3780
OLS,C,expanding,1,25,3.551510343228199e-05,3780
OLS,C,expanding,1,26,0.008730453176278546,3780
OLS,C,rolling_9m_3m,1,0,0.03293346164352119,3717
OLS,C,rolling_9m_3m,1,1,0.09618999741162776,3717
OLS,C,rolling_9m_3m,1,2,0.05122795906924917,3717
OLS,C,rolling_9m_3m,1,3,0.02562971778338505,3717
OLS,C,rolling_9m_3m,1,4,0.0645587271032813,3717
OLS,C,rolling_9m_3m,1,5,0.022743399183416314,3717
OLS,C,rolling_9m_3m,1,6,0.024827037377628203,3717
OLS,C,rolling_9m_3m,1,7,0.08674542108180204,3717
OLS,C,rolling_9m_3m,1,8,0.13917066864688862,3717
OLS,C,rolling_9m_3m,1,9,0.07461263293055725,3717
OLS,C,rolling_9m_3m,1,10,0.09861204858849094,3717
OLS,C,rolling_9m_3m,1,11,0.11378598548343818,3717
OLS,C,rolling_9m_3m,1,12,0.07524594977989746,3717
OLS,C,rolling_9m_3m,1,13,0.005951002941347161,3717
OLS,C,rolling_9m_3m,1,14,0.1153640479682614,3717
OLS,C,rolling_9m_3m,1,15,0.018667341440408044,3717
OLS,C,rolling_9m_3m,1,16,-0.014923310945605108,3717
OLS,C,rolling_9m_3m,1,17,0.0038099245926604282,3717
OLS,C,rolling_9m_3m,1,18,0.04113956775357216,3726
OLS,C,rolling_9m_3m,1,19,0.03954792942888742,3780
OLS,C,rolling_9m_3m,1,20,0.018157178307926358,3780
OLS,C,rolling_9m_3m,1,21,0.10690369778202935,3730
OLS,C,rolling_9m_3m,1,22,0.18871200505271019,3740
OLS,C,rolling_9m_3m,1,23,0.09322291981348338,3780
OLS,C,rolling_9m_3m,1,24,-0.19295311049737307,3780
OLS,C,rolling_9m_3m,1,25,-0.0026895033398633677,3780
OLS,C,rolling_9m_3m,1,26,-0.004831578113709885,3780
OLS,C,rolling_9m_3m,1,27,0.01277017524116566,3780
OLS,C,rolling_9m_3m,1,28,0.0006787497761895606,3780
OLS,C,rolling_9m_3m,1,29,-0.03560839967691724,3780
OLS,C,rolling_9m_3m,1,30,-3.554676415093166e-05,3780
OLS,C,rolling_9m_3m,1,31,0.008730749010056485,3780
ElasticNet,C,expanding,1,0,0.2302492711368709,3717
ElasticNet,C,expanding,1,1,0.2901336334760958,3717
ElasticNet,C,expanding,1,2,0.2689813041776996,3717
ElasticNet,C,expanding,1,3,0.336908902423328,3717
ElasticNet,C,expanding,1,4,0.29260263465062036,3717
ElasticNet,C,expanding,1,5,0.28365998730645453,3717
ElasticNet,C,expanding,1,6,0.2677256772553062,3717
ElasticNet,C,expanding,1,7,0.271836051185523,3717
ElasticNet,C,expanding,1,8,0.2778907640347846,3717
ElasticNet,C,expanding,1,9,0.33831816809990045,3717
ElasticNet,C,expanding,1,10,0.3512767806434734,3717
ElasticNet,C,expanding,1,11,0.28352092963513564,3717
ElasticNet,C,expanding,1,12,0.2937830663479904,3717
ElasticNet,C,expanding,1,13,0.2765264280978499,3726
ElasticNet,C,expanding,1,14,0.3032636576171048,3780
ElasticNet,C,expanding,1,15,0.2618714840911955,3780
ElasticNet,C,expanding,1,16,0.3332533963269547,3730
ElasticNet,C,expanding,1,17,0.38236675579271784,3740
ElasticNet,C,expanding,1,18,0.3092663359623603,3780
ElasticNet,C,expanding,1,19,0.3463527814431951,3780
ElasticNet,C,expanding,1,20,0.318399267389857,3780
ElasticNet,C,expanding,1,21,0.29930817097083123,3780
ElasticNet,C,expanding,1,22,0.25175903345320727,3780
ElasticNet,C,expanding,1,23,0.2628748171051491,3780
ElasticNet,C,expanding,1,24,0.2644465311777172,3780
ElasticNet,C,expanding,1,25,0.2699085895831837,3780
ElasticNet,C,expanding,1,26,0.2705974526507897,3780
ElasticNet,C,rolling_9m_3m,1,0,0.24007848571330645,3717
ElasticNet,C,rolling_9m_3m,1,1,0.2884521893145137,3717
ElasticNet,C,rolling_9m_3m,1,2,0.3054158430746617,3717
ElasticNet,C,rolling_9m_3m,1,3,0.24778076023529105,3717
ElasticNet,C,rolling_9m_3m,1,4,0.2676637880690445,3717
ElasticNet,C,rolling_9m_3m,1,5,0.23308389416100378,3717
ElasticNet,C,rolling_9m_3m,1,6,0.27252374041050376,3717
ElasticNet,C,rolling_9m_3m,1,7,0.27118727348302624,3717
ElasticNet,C,rolling_9m_3m,1,8,0.32903653563078267,3717
ElasticNet,C,rolling_9m_3m,1,9,0.2977101901218915,3717
