model,feature_set,scheme,horizon,n_windows,pooled_ic,pooled_r2
XGBoost,A,expanding,5,27,0.4476781196231859,0.18378565030363947
XGBoost,A,rolling_9m_3m,5,32,0.4200602513612172,0.23044126941837495
OLS,B,expanding,5,27,0.07269598854773102,-0.00033360499942935995
OLS,B,rolling_9m_3m,5,32,0.015520380909584273,-0.00010952888254767146
ElasticNet,B,expanding,5,27,0.4631995342515304,0.24052265891844693
ElasticNet,B,rolling_9m_3m,5,32,0.4466356098369791,0.2542265201837095
XGBoost,B,expanding,5,27,0.4703991296693829,0.2861474416846649
XGBoost,B,rolling_9m_3m,5,32,0.4617155247431147,0.3036596007898138
OLS,C,expanding,5,27,0.07269599004755115,-0.00033360501257373443
OLS,C,rolling_9m_3m,5,32,0.01552038316432337,-0.00010952893631133165
ElasticNet,C,expanding,5,27,0.5788462844858089,0.38974323165028824
ElasticNet,C,rolling_9m_3m,5,32,0.491471875694864,0.2691559675811718
XGBoost,C,expanding,5,27,0.5377767683241333,0.3138805781720164
XGBoost,C,rolling_9m_3m,5,32,0.4936953255461046,0.3179022948337611
OLS,candidate_6,expanding,5,27,0.40983275865498076,0.15522835420883507
OLS,candidate_6,rolling_9m_3m,5,32,0.3957031434536246,0.1661843442190155
ElasticNet,candidate_6,expanding,5,27,0.41024667474262405,0.15697933002519993
ElasticNet,candidate_6,rolling_9m_3m,5,32,0.39608175638712395,0.16985657632069906
XGBoost,candidate_6,expanding,5,27,0.4285477184945969,0.19271738237198843
XGBoost,candidate_6,rolling_9m_3m,5,32,0.3901334157754003,0.2086244283446944
OLS,D,expanding,5,27,0.26310123716783584,0.10053300437295487
OLS,D,rolling_9m_3m,5,32,0.32754420544626495,0.13917563461431282
ElasticNet,D,expanding,5,27,0.5764184966189516,0.3837363728774271
ElasticNet,D,rolling_9m_3m,5,32,0.5002549339355116,0.2662706204225378
XGBoost,D,expanding,5,27,0.5297010770966654,0.30916565906175775
XGBoost,D,rolling_9m_3m,5,32,0.4982016508853597,0.31118278523713194
OLS,repr_svi,expanding,5,27,0.2632079042455923,0.1005068495890653
OLS,repr_svi,rolling_9m_3m,5,32,0.24803508978044048,0.08635687308980855
ElasticNet,repr_svi,expanding,5,27,0.5571355579745317,0.36285593049792964
ElasticNet,repr_svi,rolling_9m_3m,5,32,0.45790469650791943,0.21002926905331187
XGBoost,repr_svi,expanding,5,27,0.5038153024554755,0.2591116163250634
XGBoost,repr_svi,rolling_9m_3m,5,32,0.4722813056306319,0.3015339226338799
OLS,repr_grid,expanding,5,27,0.26310465312866643,0.10053146367661114
OLS,repr_grid,rolling_9m_3m,5,32,0.3274874917424281,0.13919956582537507
ElasticNet,repr_grid,expanding,5,27,0.5635972603567324,0.3698750205021343
