feature_set,scheme,horizon,N,n_draws,se_mean,se_median,se_p05,se_p95,se_pred_sqrtN,ic_mean,ic_sd_across_draws,se_full_ref,n_full,mean_ic_full,t_full,recon_max_abs_err
D,expanding,1,40,40,0.007812353042718445,0.00794822402259119,0.005950976701884122,0.009676329284952807,0.008965319152837523,0.004095603413670157,0.0033491734085525885,0.007320152435217695,60,0.0048365506689265324,0.6607172066059165,
D,expanding,1,50,40,0.007155034828021764,0.007211870249214897,0.005922815044544467,0.008455300584818195,0.00801882522629021,0.004421431686431854,0.0020178733929336044,0.007320152435217695,60,0.0048365506689265324,0.6607172066059165,
D,expanding,1,60,1,0.007320152435217695,0.007320152435217695,0.007320152435217695,0.007320152435217695,0.007320152435217695,0.0048365506689265324,,0.007320152435217695,60,0.0048365506689265324,0.6607172066059165,
D,expanding,3,20,40,0.010642830872630706,0.010794994349678304,0.008221727404438174,0.013153215989751174,0.0129161301482662,0.011027887549469113,0.0074621491085633705,0.007457131217989732,60,0.011236468641203527,1.5068084914606903,
D,expanding,3,30,40,0.008811727023943835,0.008648171444592805,0.006961934192839802,0.010891420774541222,0.010545976104876877,0.012919923744782435,0.005572840894249899,0.007457131217989732,60,0.011236468641203527,1.5068084914606903,
D,expanding,3,40,40,0.008287375760459308,0.008230678290173194,0.007268110687689393,0.009369036544523122,0.009133083214527037,0.011625888506830157,0.00398123202231488,0.007457131217989732,60,0.011236468641203527,1.5068084914606903,
D,expanding,3,50,40,0.007677034596173185,0.007647804327608847,0.0067782746418730095,0.008596366214041693,0.0081688779647379,0.010741406163366166,0.0025307275434458295,0.007457131217989732,60,0.011236468641203527,1.5068084914606903,
D,expanding,3,60,1,0.007457131217989732,0.007457131217989732,0.007457131217989732,0.007457131217989732,0.007457131217989732,0.011236468641203527,,0.007457131217989732,60,0.011236468641203527,1.5068084914606903,
D,expanding,5,20,40,0.011442331856394022,0.011515273647862652,0.008535437130050822,0.01500000698639467,0.01307229570473292,0.010310631871108606,0.008746383050829854,0.007547293444053941,60,0.009588902836143477,1.270508813155794,
D,expanding,5,30,40,0.009542748659186692,0.009228629611999755,0.007302783552628441,0.011938054982635954,0.01067348474779063,0.010034562284393474,0.006999971943856785,0.007547293444053941,60,0.009588902836143477,1.270508813155794,
D,expanding,5,40,40,0.008687448276480773,0.008511612997441503,0.007395784331844128,0.010437908273517026,0.009243508938492427,0.0075293002350354825,0.004939746842736565,0.007547293444053941,60,0.009588902836143477,1.270508813155794,
